hazard_exposure_weight,method,episodes,success_rate,mean_travel_cost,median_travel_cost,mean_regret,mean_collisions,mean_replans,mean_planned_blocked_edges,mean_risk_sum
1.0,no_decay,160.0,0.6625,27.769331870859627,28.157171564495286,17.529559395627373,1.0125,2.0125,1.0125,0.0
1.0,fixed_hazard,160.0,0.6625,27.769331870859627,28.157171564495286,17.529559395627373,1.0125,2.0125,1.0125,2.0974183108007525
1.0,age_decay,160.0,0.63125,29.144122721438055,29.18255292231438,18.904350246205798,1.06875,2.06875,1.06875,1.6159539003244536
1.0,uncertainty_only,160.0,0.675,28.19186015650262,28.243249562149124,17.952087681270363,1.0125,2.0125,1.0125,1.727487910121963
1.0,cemd,160.0,0.8625,22.14073788971173,11.15111129772663,11.900965414479472,0.64375,1.64375,0.64375,0.9061914226808842
1.0,oracle_prob,160.0,0.86875,21.324837122889367,10.930417483311501,11.08506464765711,0.59375,1.59375,0.59375,1.2258652947060857
0.75,no_decay,160.0,0.55,32.82665369783973,31.185102294213465,22.537597075337406,1.275,2.275,1.275,0.0
0.75,fixed_hazard,160.0,0.55,32.82665369783973,31.185102294213465,22.537597075337406,1.275,2.275,1.275,2.1791076624798693
0.75,age_decay,160.0,0.5875,31.228225413889117,29.938501890983815,20.93916879138679,1.18125,2.18125,1.18125,1.6230857587779777
0.75,uncertainty_only,160.0,0.55625,33.09874537948062,31.12868206329678,22.809688756978296,1.2875,2.2875,1.2875,1.727715513180788
0.75,cemd,160.0,0.73125,27.543964144626237,29.15397052171199,17.25490752212391,0.9375,1.9375,0.9375,0.8369233506359458
0.75,oracle_prob,160.0,0.775,27.356852366222686,28.990623776145995,17.06779574372036,0.9125,1.9125,0.9125,1.429888874179816
0.5,no_decay,160.0,0.41875,38.64688917773965,41.079492893203536,27.701263570767175,1.6375,2.6375,1.6375,0.0
0.5,fixed_hazard,160.0,0.41875,38.64688917773965,41.079492893203536,27.701263570767175,1.6375,2.6375,1.6375,2.173009834139146
0.5,age_decay,160.0,0.48125,36.73601518737205,40.49312341145559,25.790389580399573,1.4875,2.4875,1.4875,1.7861452968007194
0.5,uncertainty_only,160.0,0.4125,39.02261491543196,42.132843884341696,28.076989308459478,1.63125,2.63125,1.63125,1.8957134890885958
0.5,cemd,160.0,0.575,32.18984050792112,30.39028146705642,21.244214900948645,1.225,2.225,1.225,1.0383810978521748
0.5,oracle_prob,160.0,0.55,33.65151787922365,31.98119224269618,22.70589227225117,1.2875,2.2875,1.2875,1.9168038484122174
0.25,no_decay,160.0,0.3875,38.05229099194806,42.169904573249454,27.033981604866508,1.6,2.6,1.6,0.0
0.25,fixed_hazard,160.0,0.3875,38.05229099194806,42.169904573249454,27.033981604866508,1.6,2.6,1.6,2.1700402202880604
0.25,age_decay,160.0,0.41875,37.631604999992305,42.04082716286412,26.613295612910747,1.55625,2.55625,1.55625,1.70320676854825
0.25,uncertainty_only,160.0,0.425,38.89785674594462,41.19132434110852,27.879547358863068,1.6375,2.6375,1.6375,1.783379212592702
0.25,cemd,160.0,0.50625,35.33204499002006,37.36258377463572,24.313735602938504,1.40625,2.40625,1.40625,1.1550954486041811
0.25,oracle_prob,160.0,0.475,36.57367976957179,40.43021244288077,25.555370382490235,1.48125,2.48125,1.48125,1.949521932545746
0.0,no_decay,160.0,0.2875,41.577898900012464,43.203065690600184,30.257376376610853,1.80625,2.80625,1.80625,0.0
0.0,fixed_hazard,160.0,0.2875,41.577898900012464,43.203065690600184,30.257376376610853,1.80625,2.80625,1.80625,2.3006452024420265
0.0,age_decay,160.0,0.44375,38.90341182609833,41.98998281713398,27.58288930269672,1.6375,2.6375,1.6375,1.8387403918236176
0.0,uncertainty_only,160.0,0.35625,41.22046849241469,43.040407478441736,29.89994596901308,1.78125,2.78125,1.78125,1.9594271488430726
0.0,cemd,160.0,0.4,40.99981977010233,43.023169029622906,29.67929724670072,1.74375,2.74375,1.74375,1.2121260476315492
0.0,oracle_prob,160.0,0.45,37.95208271154724,41.15867831416376,26.63156018814563,1.58125,2.58125,1.58125,2.1101704410361766
