episode,method,seed,absence_days,start,goal,success,travel_cost,oracle_cost,regret,collisions,replans,planned_blocked_edges,expected_plan_cost,risk_sum,budget
0,no_decay,22000,22.669529180775804,41,0,0.0,47.588742557171706,11.903791814849908,35.684950742321796,2.0,3.0,2.0,4.2801786513605355,0.0,42.83163567598734
0,fixed_hazard,22000,22.669529180775804,41,0,0.0,47.588742557171706,11.903791814849908,35.684950742321796,2.0,3.0,2.0,11.30174602063018,1.1702612282116076,42.83163567598734
0,age_decay,22000,22.669529180775804,41,0,1.0,12.299282923664157,11.903791814849908,0.3954911088142481,0.0,1.0,0.0,23.377305198949443,0.6154456819602938,42.83163567598734
0,uncertainty_only,22000,22.669529180775804,41,0,0.0,50.11624765970112,11.903791814849908,38.21245584485121,2.0,3.0,2.0,7.050587270067422,0.9858665679292469,42.83163567598734
0,cemd,22000,22.669529180775804,41,0,1.0,30.28046028154738,11.903791814849908,18.376668466697474,1.0,2.0,1.0,17.651046535311938,0.6191344710632604,42.83163567598734
0,oracle_prob,22000,22.669529180775804,41,0,1.0,30.44733007811063,11.903791814849908,18.54353826326072,1.0,2.0,1.0,17.91949021695267,0.7930713077715734,42.83163567598734
1,no_decay,22037,17.761697139189472,0,34,0.0,47.61410154039952,10.853906534982444,36.760195005417074,2.0,3.0,2.0,3.374350549460326,0.0,40.99433643621928
1,fixed_hazard,22037,17.761697139189472,0,34,0.0,47.61410154039952,10.853906534982444,36.760195005417074,2.0,3.0,2.0,7.000518864757832,0.8058151811772237,40.99433643621928
1,age_decay,22037,17.761697139189472,0,34,1.0,31.548713750853548,10.853906534982444,20.6948072158711,1.0,2.0,1.0,6.507432905917193,0.6768828391194135,40.99433643621928
1,uncertainty_only,22037,17.761697139189472,0,34,0.0,47.61410154039952,10.853906534982444,36.760195005417074,2.0,3.0,2.0,6.381617187003976,0.85573789537812,40.99433643621928
1,cemd,22037,17.761697139189472,0,34,1.0,10.853906534982444,10.853906534982444,0.0,0.0,1.0,0.0,19.734020989305932,0.49333969190686044,40.99433643621928
1,oracle_prob,22037,17.761697139189472,0,34,1.0,10.853906534982444,10.853906534982444,0.0,0.0,1.0,0.0,20.741291118394873,0.5492991435229128,40.99433643621928
2,no_decay,22074,48.14311063786075,35,5,1.0,29.020131812515373,10.664794575950832,18.35533723656454,1.0,2.0,1.0,10.664794575950832,0.0,40.66339050791396
2,fixed_hazard,22074,48.14311063786075,35,5,1.0,29.020131812515373,10.664794575950832,18.35533723656454,1.0,2.0,1.0,43.947212079253575,2.033925514090723,40.66339050791396
2,age_decay,22074,48.14311063786075,35,5,0.0,41.12994995385717,10.664794575950832,30.46515537790634,2.0,3.0,2.0,32.68404330688484,0.8815693972534975,40.66339050791396
2,uncertainty_only,22074,48.14311063786075,35,5,0.0,43.35386436302173,10.664794575950832,32.68906978707089,2.0,3.0,2.0,21.340469962748053,1.3152565012071806,40.66339050791396
2,cemd,22074,48.14311063786075,35,5,0.0,41.16224428275827,10.664794575950832,30.49744970680744,2.0,3.0,2.0,22.34116569426329,2.238579712092669,40.66339050791396
2,oracle_prob,22074,48.14311063786075,35,5,0.0,41.192174186091165,10.664794575950832,30.527379610140333,2.0,3.0,2.0,33.43283248935672,1.9019042356296336,40.66339050791396
3,no_decay,22111,68.20674782528047,7,41,0.0,59.40365793623822,11.097112243670065,48.30654569256815,3.0,4.0,3.0,9.835884436049188,0.0,41.41994642642261
3,fixed_hazard,22111,68.20674782528047,7,41,0.0,59.40365793623822,11.097112243670065,48.30654569256815,3.0,4.0,3.0,48.16641312899824,1.6562574126582925,41.41994642642261
3,age_decay,22111,68.20674782528047,7,41,0.0,42.11503731512111,11.097112243670065,31.017925071451042,2.0,3.0,2.0,32.75977919237278,1.06235595913676,41.41994642642261
3,uncertainty_only,22111,68.20674782528047,7,41,0.0,59.40365793623822,11.097112243670065,48.30654569256815,3.0,4.0,3.0,45.004244778181764,1.9077982936645688,41.41994642642261
3,cemd,22111,68.20674782528047,7,41,0.0,46.3578224776843,11.097112243670065,35.26071023401424,2.0,3.0,2.0,6.679766104795431,0.6624614817794234,41.41994642642261
3,oracle_prob,22111,68.20674782528047,7,41,1.0,11.097112243670065,11.097112243670065,0.0,0.0,1.0,0.0,38.16558871439943,1.503804248373854,41.41994642642261
4,no_decay,22148,42.28789638454562,6,35,1.0,34.35423646262811,11.705155712202941,22.649080750425167,1.0,2.0,1.0,5.46064396423404,0.0,42.48402249635515
4,fixed_hazard,22148,42.28789638454562,6,35,1.0,34.35423646262811,11.705155712202941,22.649080750425167,1.0,2.0,1.0,17.884719704743265,2.2087245760905287,42.48402249635515
4,age_decay,22148,42.28789638454562,6,35,1.0,30.457493129491645,11.705155712202941,18.752337417288704,1.0,2.0,1.0,33.884835780172246,1.3304465976163233,42.48402249635515
4,uncertainty_only,22148,42.28789638454562,6,35,1.0,11.734290849868596,11.705155712202941,0.02913513766565501,0.0,1.0,0.0,30.975582522168665,1.068960648461115,42.48402249635515
4,cemd,22148,42.28789638454562,6,35,1.0,34.35423646262811,11.705155712202941,22.649080750425167,1.0,2.0,1.0,28.78361732835781,2.543692783164355,42.48402249635515
4,oracle_prob,22148,42.28789638454562,6,35,1.0,34.71817756362303,11.705155712202941,23.01302185142009,1.0,2.0,1.0,23.74942455690698,2.41246192483353,42.48402249635515
5,no_decay,22185,119.66799739843002,41,14,0.0,82.13820065620074,9.693945320804355,72.44425533539638,4.0,5.0,4.0,6.367786747720924,0.0,38.96440431140762
5,fixed_hazard,22185,119.66799739843002,41,14,0.0,82.13820065620074,9.693945320804355,72.44425533539638,4.0,5.0,4.0,42.65976104571027,4.032441588665483,38.96440431140762
5,age_decay,22185,119.66799739843002,41,14,0.0,41.448718573046676,9.693945320804355,31.754773252242323,2.0,3.0,2.0,53.159473112973366,1.3488674631088249,38.96440431140762
5,uncertainty_only,22185,119.66799739843002,41,14,0.0,41.37452033877144,9.693945320804355,31.680575017967087,2.0,3.0,2.0,57.928959725475394,0.9882318876682049,38.96440431140762
5,cemd,22185,119.66799739843002,41,14,1.0,9.723493142140695,9.693945320804355,0.029547821336340263,0.0,1.0,0.0,12.524269528892845,0.15559868815289724,38.96440431140762
5,oracle_prob,22185,119.66799739843002,41,14,0.0,41.4815398734666,9.693945320804355,31.78759455266225,2.0,3.0,2.0,38.37870177732405,0.998874897462966,38.96440431140762
6,no_decay,22222,46.86377338952984,41,7,1.0,10.773320254792248,10.773320254792248,0.0,0.0,1.0,0.0,10.773320254792248,0.0,40.853310445886436
6,fixed_hazard,22222,46.86377338952984,41,7,1.0,10.773320254792248,10.773320254792248,0.0,0.0,1.0,0.0,41.89476479360327,1.7289691410450567,40.853310445886436
6,age_decay,22222,46.86377338952984,41,7,1.0,29.230804492332027,10.773320254792248,18.45748423753978,1.0,2.0,1.0,16.017008377630333,1.4182526232913166,40.853310445886436
6,uncertainty_only,22222,46.86377338952984,41,7,1.0,29.515413581568147,10.773320254792248,18.7420933267759,1.0,2.0,1.0,38.72035878640019,1.8775671891980907,40.853310445886436
6,cemd,22222,46.86377338952984,41,7,1.0,29.496707703131445,10.773320254792248,18.723387448339196,1.0,2.0,1.0,16.203119067172437,0.35531757267695396,40.853310445886436
6,oracle_prob,22222,46.86377338952984,41,7,1.0,29.461489631166422,10.773320254792248,18.688169376374177,1.0,2.0,1.0,25.629277596443423,0.917376320366595,40.853310445886436
7,no_decay,22259,120.94481337280538,7,41,0.0,45.195490311638586,10.821776069544232,34.37371424209435,2.0,3.0,2.0,5.508186148020279,0.0,40.938108121702406
