method,episodes,success_rate,mean_travel_cost,median_travel_cost,mean_regret,mean_collisions,mean_replans,mean_planned_blocked_edges,mean_risk_sum
no_decay,650.0,0.4169230769230769,37.41992065660406,41.12493526610639,26.755885447825367,1.5692307692307692,2.5692307692307694,1.5692307692307692,0.0
fixed_hazard,650.0,0.4169230769230769,37.41992065660406,41.12493526610639,26.755885447825367,1.5692307692307692,2.5692307692307694,1.5692307692307692,2.2875354201831075
age_decay,650.0,0.4323076923076923,36.573121085071726,41.12419781031168,25.90908587629303,1.5107692307692309,2.5107692307692306,1.5107692307692309,1.8006441359995526
uncertainty_only,650.0,0.4246153846153846,36.42590990032577,41.12367031271393,25.76187469154707,1.5015384615384615,2.5015384615384617,1.5015384615384615,1.9171929690100282
cemd,650.0,0.5492307692307692,33.21539137947071,31.965052319723952,22.55135617069201,1.2846153846153847,2.2846153846153845,1.2846153846153847,0.9595399192797082
oracle_prob,650.0,0.5907692307692308,31.24069161695961,30.397554727615713,20.576656408180913,1.1707692307692308,2.170769230769231,1.1707692307692308,1.784924490226322
